VehicleID,Type,Battery_Level_Pct,Last_Maintenance_Date,Trip_Count,Total_Revenue,Avg_Fare,Avg_Duration,Peak_Trip_Count,Weekend_Trip_Count,Rain_Trip_Count,Heavy_Rain_Trip_Count,Unique_Start_Stations,Unique_End_Stations,Days_Since_Maintenance,Utilization_Segment,Maintenance_Risk_Level
V0003,E-Bike,33,2025-09-17,1.0,7500.0,7500.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,43,Low Revenue,Critical
V1228,E-Bike,52,2025-08-24,1.0,7500.0,7500.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,67,Low Revenue,Critical
V1584,E-Bike,42,2025-08-20,1.0,7500.0,7500.0,5.0,0.0,0.0,1.0,1.0,1.0,1.0,71,Low Revenue,Critical
V1210,E-Bike,13,2025-09-10,1.0,7500.0,7500.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,50,Low Revenue,Critical
V1048,E-Bike,84,2025-09-07,1.0,7500.0,7500.0,5.0,1.0,0.0,1.0,1.0,1.0,1.0,53,Low Revenue,Critical
V1601,E-Bike,87,2025-08-07,1.0,7500.0,7500.0,5.0,1.0,1.0,0.0,0.0,1.0,1.0,84,Low Revenue,Critical
V0471,E-Bike,66,2025-08-25,1.0,7500.0,7500.0,5.0,0.0,1.0,0.0,0.0,1.0,1.0,66,Low Revenue,Critical
V0176,E-Bike,16,2025-08-04,1.0,7500.0,7500.0,5.0,1.0,0.0,1.0,0.0,1.0,1.0,87,Low Revenue,Critical
V0024,E-Bike,64,2025-08-25,1.0,7500.0,7500.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,66,Low Revenue,Critical
V1281,E-Bike,66,2025-08-10,1.0,9000.0,9000.0,6.0,0.0,0.0,0.0,0.0,1.0,1.0,81,Low Revenue,Critical
