VehicleID,Type,Battery_Level_Pct,Days_Since_Maintenance,Trip_Count,Total_Revenue,Avg_Fare,Avg_Duration,Peak_Trip_Count,Weekend_Trip_Count,Rain_Trip_Count,Heavy_Rain_Trip_Count,Unique_Start_Stations,Unique_End_Stations,Vehicle_Needs_Action
V0001,E-Bike,46,38,2.0,60000.0,30000.0,20.0,0.0,1.0,0.0,0.0,2.0,2.0,1
V0002,E-Bike,23,58,2.0,97500.0,48750.0,32.5,2.0,0.0,0.0,0.0,2.0,2.0,1
V0003,E-Bike,33,43,1.0,7500.0,7500.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0004,E-Bike,35,34,4.0,162000.0,40500.0,27.0,2.0,0.0,3.0,2.0,3.0,3.0,1
V0005,E-Bike,93,74,1.0,31500.0,31500.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0006,E-Bike,100,37,4.0,192000.0,48000.0,32.0,2.0,1.0,0.0,0.0,4.0,3.0,1
V0007,E-Bike,24,42,4.0,154500.0,38625.0,25.75,2.0,2.0,2.0,2.0,3.0,4.0,1
V0008,E-Bike,73,65,4.0,178500.0,44625.0,29.75,1.0,0.0,1.0,0.0,3.0,3.0,1
V0009,E-Bike,34,70,5.0,192000.0,38400.0,25.6,3.0,2.0,2.0,1.0,4.0,4.0,1
V0010,E-Bike,14,82,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1
V0011,E-Bike,20,54,4.0,114000.0,28500.0,19.0,3.0,0.0,0.0,0.0,4.0,4.0,1
V0012,E-Bike,64,51,2.0,88500.0,44250.0,29.5,0.0,2.0,0.0,0.0,1.0,2.0,1
V0013,E-Bike,35,77,1.0,34500.0,34500.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0014,E-Bike,18,55,2.0,61500.0,30750.0,20.5,0.0,1.0,0.0,0.0,1.0,1.0,1
V0015,E-Bike,66,48,4.0,129000.0,32250.0,21.5,1.0,1.0,3.0,2.0,3.0,4.0,1
V0016,E-Bike,100,77,2.0,67500.0,33750.0,22.5,2.0,0.0,1.0,1.0,2.0,2.0,1
V0017,E-Bike,63,76,7.0,252000.0,36000.0,24.0,4.0,2.0,2.0,1.0,5.0,6.0,1
V0018,E-Bike,15,64,4.0,108000.0,27000.0,18.0,1.0,1.0,0.0,0.0,3.0,3.0,1
V0019,E-Bike,98,87,3.0,117000.0,39000.0,26.0,1.0,1.0,0.0,0.0,3.0,3.0,1
V0020,E-Bike,54,65,4.0,181500.0,45375.0,30.25,1.0,1.0,1.0,0.0,3.0,2.0,1
V0021,E-Bike,39,70,1.0,37500.0,37500.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,1
V0022,E-Bike,28,48,7.0,193500.0,27642.85714285714,18.428571428571427,1.0,1.0,0.0,0.0,4.0,5.0,1
V0023,E-Bike,28,88,7.0,237000.0,33857.142857142855,22.571428571428573,3.0,2.0,0.0,0.0,5.0,5.0,1
V0024,E-Bike,64,66,1.0,7500.0,7500.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,1
