VehicleID,Type,Battery_Level_Pct,Last_Maintenance_Date,Trip_Count,Total_Revenue,Avg_Fare,Avg_Duration,Peak_Trip_Count,Weekend_Trip_Count,Rain_Trip_Count,Heavy_Rain_Trip_Count,Unique_Start_Stations,Unique_End_Stations,Days_Since_Maintenance,Utilization_Segment,Maintenance_Risk_Level
V0001,E-Bike,46,2025-09-22,2.0,60000.0,30000.0,20.0,0.0,1.0,0.0,0.0,2.0,2.0,38,Low Revenue,Critical
V0002,E-Bike,23,2025-09-02,2.0,97500.0,48750.0,32.5,2.0,0.0,0.0,0.0,2.0,2.0,58,Mid Revenue,Critical
V0003,E-Bike,33,2025-09-17,1.0,7500.0,7500.0,5.0,0.0,0.0,0.0,0.0,1.0,1.0,43,Low Revenue,Critical
V0004,E-Bike,35,2025-09-26,4.0,162000.0,40500.0,27.0,2.0,0.0,3.0,2.0,3.0,3.0,34,Mid Revenue,Critical
V0005,E-Bike,93,2025-08-17,1.0,31500.0,31500.0,21.0,0.0,0.0,0.0,0.0,1.0,1.0,74,Low Revenue,Critical
V0006,E-Bike,100,2025-09-23,4.0,192000.0,48000.0,32.0,2.0,1.0,0.0,0.0,4.0,3.0,37,High Revenue,Critical
V0007,E-Bike,24,2025-09-18,4.0,154500.0,38625.0,25.75,2.0,2.0,2.0,2.0,3.0,4.0,42,Mid Revenue,Critical
V0008,E-Bike,73,2025-08-26,4.0,178500.0,44625.0,29.75,1.0,0.0,1.0,0.0,3.0,3.0,65,Mid Revenue,Critical
V0009,E-Bike,34,2025-08-21,5.0,192000.0,38400.0,25.6,3.0,2.0,2.0,1.0,4.0,4.0,70,High Revenue,Critical
V0010,E-Bike,14,2025-08-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82,Low Revenue,Critical
V0011,E-Bike,20,2025-09-06,4.0,114000.0,28500.0,19.0,3.0,0.0,0.0,0.0,4.0,4.0,54,Mid Revenue,Critical
V0012,E-Bike,64,2025-09-09,2.0,88500.0,44250.0,29.5,0.0,2.0,0.0,0.0,1.0,2.0,51,Mid Revenue,Critical
V0013,E-Bike,35,2025-08-14,1.0,34500.0,34500.0,23.0,0.0,0.0,0.0,0.0,1.0,1.0,77,Low Revenue,Critical
V0014,E-Bike,18,2025-09-05,2.0,61500.0,30750.0,20.5,0.0,1.0,0.0,0.0,1.0,1.0,55,Low Revenue,Critical
V0015,E-Bike,66,2025-09-12,4.0,129000.0,32250.0,21.5,1.0,1.0,3.0,2.0,3.0,4.0,48,Mid Revenue,Critical
V0016,E-Bike,100,2025-08-14,2.0,67500.0,33750.0,22.5,2.0,0.0,1.0,1.0,2.0,2.0,77,Low Revenue,Critical
V0017,E-Bike,63,2025-08-15,7.0,252000.0,36000.0,24.0,4.0,2.0,2.0,1.0,5.0,6.0,76,High Revenue,Critical
V0018,E-Bike,15,2025-08-27,4.0,108000.0,27000.0,18.0,1.0,1.0,0.0,0.0,3.0,3.0,64,Mid Revenue,Critical
V0019,E-Bike,98,2025-08-04,3.0,117000.0,39000.0,26.0,1.0,1.0,0.0,0.0,3.0,3.0,87,Mid Revenue,Critical
V0020,E-Bike,54,2025-08-26,4.0,181500.0,45375.0,30.25,1.0,1.0,1.0,0.0,3.0,2.0,65,Mid Revenue,Critical
V0021,E-Bike,39,2025-08-21,1.0,37500.0,37500.0,25.0,0.0,0.0,0.0,0.0,1.0,1.0,70,Low Revenue,Critical
V0022,E-Bike,28,2025-09-12,7.0,193500.0,27642.85714285714,18.428571428571427,1.0,1.0,0.0,0.0,4.0,5.0,48,High Revenue,Critical
V0023,E-Bike,28,2025-08-03,7.0,237000.0,33857.142857142855,22.571428571428573,3.0,2.0,0.0,0.0,5.0,5.0,88,High Revenue,Critical
V0024,E-Bike,64,2025-08-25,1.0,7500.0,7500.0,5.0,1.0,0.0,0.0,0.0,1.0,1.0,66,Low Revenue,Critical
V0025,E-Bike,83,2025-09-13,2.0,73500.0,36750.0,24.5,2.0,1.0,1.0,1.0,2.0,2.0,47,Low Revenue,Critical
V0026,E-Bike,47,2025-08-22,4.0,192000.0,48000.0,32.0,1.0,0.0,2.0,1.0,3.0,4.0,69,High Revenue,Critical
V0027,E-Bike,43,2025-09-10,2.0,94500.0,47250.0,31.5,1.0,1.0,0.0,0.0,2.0,1.0,50,Mid Revenue,Critical
V0028,E-Bike,100,2025-08-16,3.0,136500.0,45500.0,30.333333333333332,3.0,1.0,0.0,0.0,3.0,3.0,75,Mid Revenue,Critical
V0029,E-Bike,10,2025-09-15,1.0,60000.0,60000.0,40.0,1.0,1.0,0.0,0.0,1.0,1.0,45,Low Revenue,Critical
V0030,E-Bike,96,2025-08-13,4.0,109500.0,27375.0,18.25,3.0,2.0,1.0,1.0,3.0,4.0,78,Mid Revenue,Critical
V0031,E-Bike,45,2025-09-07,3.0,117000.0,39000.0,26.0,1.0,1.0,0.0,0.0,3.0,3.0,53,Mid Revenue,Critical
V0032,E-Bike,54,2025-09-27,3.0,66000.0,22000.0,14.666666666666666,1.0,2.0,1.0,0.0,1.0,2.0,33,Low Revenue,Critical
V0033,E-Bike,56,2025-09-21,4.0,90000.0,22500.0,15.0,1.0,0.0,0.0,0.0,4.0,4.0,39,Mid Revenue,Critical
V0034,E-Bike,28,2025-09-12,4.0,153000.0,38250.0,25.5,4.0,1.0,0.0,0.0,3.0,3.0,48,Mid Revenue,Critical
V0035,E-Bike,20,2025-08-16,2.0,79500.0,39750.0,26.5,2.0,1.0,0.0,0.0,2.0,1.0,75,Mid Revenue,Critical
V0036,E-Bike,92,2025-08-20,2.0,81000.0,40500.0,27.0,1.0,1.0,0.0,0.0,2.0,1.0,71,Mid Revenue,Critical
V0037,E-Bike,61,2025-09-25,4.0,93000.0,23250.0,15.5,0.0,1.0,1.0,1.0,3.0,4.0,35,Mid Revenue,Critical
V0038,E-Bike,59,2025-09-08,7.0,222000.0,31714.285714285714,21.142857142857142,3.0,0.0,2.0,0.0,5.0,4.0,52,High Revenue,Critical
V0039,E-Bike,96,2025-09-06,4.0,118500.0,29625.0,19.75,2.0,0.0,1.0,0.0,3.0,3.0,54,Mid Revenue,Critical
V0040,E-Bike,82,2025-09-19,2.0,82500.0,41250.0,27.5,2.0,1.0,1.0,1.0,2.0,1.0,41,Mid Revenue,Critical
V0041,E-Bike,27,2025-09-28,5.0,267000.0,53400.0,35.6,1.0,1.0,2.0,2.0,3.0,4.0,32,High Revenue,Critical
V0042,E-Bike,84,2025-09-05,1.0,30000.0,30000.0,20.0,1.0,0.0,0.0,0.0,1.0,1.0,55,Low Revenue,Critical
V0043,E-Bike,77,2025-08-13,3.0,162000.0,54000.0,36.0,0.0,2.0,0.0,0.0,3.0,3.0,78,Mid Revenue,Critical
V0044,E-Bike,22,2025-08-21,8.0,334500.0,41812.5,27.875,3.0,2.0,3.0,1.0,5.0,5.0,70,High Revenue,Critical
V0045,E-Bike,74,2025-09-19,4.0,159000.0,39750.0,26.5,1.0,0.0,1.0,1.0,4.0,4.0,41,Mid Revenue,Critical
V0046,E-Bike,82,2025-09-21,6.0,166500.0,27750.0,18.5,2.0,2.0,3.0,1.0,4.0,4.0,39,Mid Revenue,Critical
V0047,E-Bike,42,2025-08-18,2.0,63000.0,31500.0,21.0,0.0,1.0,0.0,0.0,2.0,2.0,73,Low Revenue,Critical
V0048,E-Bike,73,2025-08-23,2.0,96000.0,48000.0,32.0,1.0,0.0,0.0,0.0,2.0,2.0,68,Mid Revenue,Critical
V0049,E-Bike,56,2025-09-18,4.0,130500.0,32625.0,21.75,1.0,0.0,1.0,1.0,2.0,4.0,42,Mid Revenue,Critical
V0050,E-Bike,76,2025-09-02,2.0,88500.0,44250.0,29.5,2.0,2.0,0.0,0.0,2.0,2.0,58,Mid Revenue,Critical
V0051,E-Bike,76,2025-09-09,4.0,157500.0,39375.0,26.25,3.0,1.0,2.0,1.0,4.0,4.0,51,Mid Revenue,Critical
V0052,E-Bike,78,2025-09-12,2.0,69000.0,34500.0,23.0,2.0,0.0,0.0,0.0,1.0,2.0,48,Low Revenue,Critical
V0053,E-Bike,69,2025-08-28,2.0,76500.0,38250.0,25.5,1.0,0.0,0.0,0.0,2.0,2.0,63,Mid Revenue,Critical
V0054,E-Bike,94,2025-08-22,2.0,70500.0,35250.0,23.5,1.0,0.0,0.0,0.0,2.0,2.0,69,Low Revenue,Critical
V0055,E-Bike,10,2025-08-31,2.0,57000.0,28500.0,19.0,1.0,1.0,1.0,0.0,2.0,1.0,60,Low Revenue,Critical
V0056,E-Bike,66,2025-09-20,7.0,267000.0,38142.857142857145,25.428571428571427,3.0,3.0,2.0,0.0,5.0,4.0,40,High Revenue,Critical
V0057,E-Bike,73,2025-08-28,5.0,199500.0,39900.0,26.6,4.0,2.0,1.0,1.0,4.0,5.0,63,High Revenue,Critical
V0058,E-Bike,98,2025-09-26,5.0,237000.0,47400.0,31.6,2.0,2.0,4.0,2.0,4.0,4.0,34,High Revenue,Critical
V0059,E-Bike,10,2025-09-03,5.0,157500.0,31500.0,21.0,3.0,1.0,1.0,0.0,5.0,3.0,57,Mid Revenue,Critical
V0060,E-Bike,84,2025-08-06,4.0,159000.0,39750.0,26.5,2.0,1.0,0.0,0.0,3.0,3.0,85,Mid Revenue,Critical
V0061,E-Bike,77,2025-09-20,4.0,127500.0,31875.0,21.25,1.0,0.0,0.0,0.0,3.0,4.0,40,Mid Revenue,Critical
V0062,E-Bike,91,2025-08-04,5.0,184500.0,36900.0,24.6,2.0,0.0,1.0,0.0,4.0,4.0,87,Mid Revenue,Critical
V0063,E-Bike,33,2025-08-06,6.0,246000.0,41000.0,27.333333333333332,4.0,3.0,0.0,0.0,4.0,5.0,85,High Revenue,Critical
V0064,E-Bike,60,2025-08-25,2.0,117000.0,58500.0,39.0,1.0,1.0,2.0,1.0,1.0,2.0,66,Mid Revenue,Critical
V0065,E-Bike,16,2025-08-31,2.0,54000.0,27000.0,18.0,0.0,1.0,1.0,0.0,2.0,2.0,60,Low Revenue,Critical
V0066,E-Bike,91,2025-08-25,2.0,85500.0,42750.0,28.5,0.0,1.0,0.0,0.0,2.0,2.0,66,Mid Revenue,Critical
V0067,E-Bike,25,2025-09-30,2.0,109500.0,54750.0,36.5,1.0,1.0,1.0,0.0,1.0,1.0,30,Mid Revenue,Watch
V0068,E-Bike,35,2025-08-26,3.0,85500.0,28500.0,19.0,1.0,2.0,1.0,1.0,2.0,3.0,65,Mid Revenue,Critical
V0069,E-Bike,90,2025-08-18,3.0,115500.0,38500.0,25.666666666666668,2.0,1.0,0.0,0.0,3.0,2.0,73,Mid Revenue,Critical
V0070,E-Bike,68,2025-09-20,1.0,52500.0,52500.0,35.0,0.0,0.0,0.0,0.0,1.0,1.0,40,Low Revenue,Critical
V0071,E-Bike,59,2025-08-25,1.0,55500.0,55500.0,37.0,0.0,1.0,0.0,0.0,1.0,1.0,66,Low Revenue,Critical
V0072,E-Bike,66,2025-09-07,7.0,310500.0,44357.142857142855,29.571428571428573,3.0,3.0,1.0,1.0,7.0,5.0,53,High Revenue,Critical
